points3.pts
zone3.inf
 76 136
 2
PP0
PP1
 85 1 2 0.00000000E+00 1 1.00000000 2 0.00000000E+00
 86 1 2 0.00000000E+00 1 0.958938181 2 4.10618410E-02
 159 1 2 0.00000000E+00 1 0.817499936 2 0.182500079
 160 1 2 0.00000000E+00 1 0.874332011 2 0.125668019
 161 1 2 0.00000000E+00 1 0.912861049 2 8.71389285E-02
 162 1 2 0.00000000E+00 1 0.908038795 2 9.19611901E-02
 163 1 2 0.00000000E+00 1 0.883841515 2 0.116158508
 234 1 2 0.00000000E+00 1 0.701901019 2 0.298098981
 235 1 2 0.00000000E+00 1 0.751956761 2 0.248043254
 236 1 2 0.00000000E+00 1 0.797519088 2 0.202480882
 237 1 2 0.00000000E+00 1 0.827974141 2 0.172025844
 238 1 2 0.00000000E+00 1 0.835905910 2 0.164094105
 309 1 2 0.00000000E+00 1 0.589452446 2 0.410547554
 310 1 2 0.00000000E+00 1 0.633071899 2 0.366928130
 311 1 2 0.00000000E+00 1 0.677143633 2 0.322856396
 312 1 2 0.00000000E+00 1 0.716608167 2 0.283391804
 313 1 2 0.00000000E+00 1 0.745516360 2 0.254483640
 314 1 2 0.00000000E+00 1 0.760474443 2 0.239525527
 385 1 2 0.00000000E+00 1 0.518540740 2 0.481459230
 386 1 2 0.00000000E+00 1 0.558271825 2 0.441728175
 387 1 2 0.00000000E+00 1 0.598761082 2 0.401238889
 388 1 2 0.00000000E+00 1 0.635929048 2 0.364070922
 461 1 2 0.00000000E+00 2 0.557117641 1 0.442882329
 462 1 2 0.00000000E+00 2 0.519661725 1 0.480338275
 463 1 2 0.00000000E+00 1 0.519661725 2 0.480338275
 536 1 2 0.00000000E+00 2 0.665823340 1 0.334176689
 537 1 2 0.00000000E+00 2 0.635929048 1 0.364070922
 538 1 2 0.00000000E+00 2 0.598761082 1 0.401238889
 612 1 2 0.00000000E+00 2 0.745516360 1 0.254483640
 613 1 2 0.00000000E+00 2 0.716608167 1 0.283391804
 614 1 2 0.00000000E+00 2 0.677143633 1 0.322856396
 688 1 2 0.00000000E+00 2 0.827974141 1 0.172025844
 689 1 2 0.00000000E+00 2 0.797519088 1 0.202480882
 764 1 2 0.00000000E+00 2 0.912861049 1 8.71389285E-02
 840 1 2 0.00000000E+00 2 1.00000000 1 0.00000000E+00
