points0.pts
zone0.inf
 66 136
 31
HK_QA0
HK_QA1
HK_QA2
HK_QA3
HK_QA4
HK_QA5
HK_QA6
HK_QA7
HK_QA8
HK_QA9
HK_QA10
HK_QA11
HK_QA12
HK_QA13
HK_QA14
HK_QA15
HK_QA16
HK_QA17
HK_QA18
HK_QA19
HK_QA20
HK_QA21
HK_QA22
HK_QA23
HK_QA24
HK_QA25
HK_QA26
HK_QA27
HK_QA28
HK_QA29
HK_QA30
 269 1 13 0.00000000E+00 1 0.586791694 2 0.331424534 3 8.17716867E-02 4 -4.28522937E-02 5 9.80603276E-04 7 1.03323003E-02 6 -7.47389952E-03 9 8.57012440E-03 8 3.18931154E-04 10 1.60859071E-03 11 -5.91559801E-04 13 1.72652360E-02 12 1.18540665E-02
 270 1 13 0.00000000E+00 1 0.635002077 2 0.342485309 3 3.09989545E-02 4 -2.57007964E-02 5 -1.67399936E-04 6 -3.61043564E-03 7 4.24444163E-03 9 3.90585000E-03 8 1.59043528E-04 10 6.05287612E-04 11 -2.12792409E-04 13 7.39814434E-03 12 4.89233900E-03
 271 1 13 0.00000000E+00 1 0.664344668 2 0.331351548 3 -1.72676065E-03 4 8.01007543E-03 5 -1.00704725E-03 6 -1.02485600E-03 7 -6.80300989E-04 9 1.13689777E-04 8 -1.02545804E-04 10 6.71770431E-06 11 -1.57465129E-05 12 3.00092419E-04 13 4.30474000E-04
 272 1 13 0.00000000E+00 1 0.613464057 2 0.329852492 3 -1.27408945E-03 4 6.80453479E-02 5 -9.10842558E-04 6 -1.75102369E-03 7 -4.84881178E-03 9 -2.15709768E-03 8 -2.94463971E-04 10 2.81471817E-04 11 -6.79892837E-05 12 5.66115836E-04 13 -9.05158056E-04
 273 1 13 0.00000000E+00 1 0.543874979 2 0.306266129 3 1.75701771E-02 4 0.143645525 5 -5.89421506E-05 6 -4.24632989E-03 7 -7.87146483E-03 9 -3.40453023E-03 8 -4.55799949E-04 10 1.02270930E-03 11 -3.19817307E-04 12 3.26604745E-03 13 7.11285567E-04
 274 1 13 0.00000000E+00 1 0.485544592 2 0.264217526 3 3.42906639E-02 4 0.224803671 5 1.83190289E-03 6 -7.53230089E-03 7 -9.80444252E-03 9 -4.00987267E-03 8 -5.01402654E-04 10 1.97021896E-03 11 -7.12512934E-04 12 6.63797744E-03 13 3.26398225E-03
 275 1 13 0.00000000E+00 1 0.436411977 2 0.219039783 3 4.12946418E-02 4 0.306517452 5 5.49292518E-03 6 -1.16951894E-02 7 -1.11604175E-02 9 -4.07529064E-03 8 -2.53212202E-04 10 3.12132738E-03 11 -1.21428049E-03 12 1.02983927E-02 13 6.22191047E-03
 276 1 13 0.00000000E+00 1 0.393508017 2 0.177186191 4 0.384840429 3 3.88069376E-02 5 1.19403051E-02 6 -1.69531684E-02 7 -1.24181686E-02 8 4.51797794E-04 9 -3.66893760E-03 10 4.53418680E-03 11 -1.81976310E-03 12 1.41877308E-02 13 9.40446276E-03
 277 1 13 0.00000000E+00 4 0.455597132 1 0.355393291 2 0.140491605 3 2.95037944E-02 5 2.25594677E-02 6 -2.33716965E-02 7 -1.38499597E-02 8 1.73782639E-03 9 -2.87999888E-03 10 6.28639385E-03 11 -2.55417824E-03 12 1.83482207E-02 13 1.27380826E-02
 278 1 13 0.00000000E+00 4 0.514045238 1 0.321599066 2 0.109223761 3 1.64075121E-02 5 3.90861742E-02 6 -3.07730958E-02 7 -1.55088911E-02 8 3.68792727E-03 9 -1.83162035E-03 10 8.46769102E-03 11 -3.47381993E-03 12 2.28721313E-02 13 1.61979068E-02
 335 1 13 0.00000000E+00 2 0.475350767 1 0.398863137 3 0.132857263 4 -4.76368368E-02 5 1.75229739E-04 7 1.24361981E-02 6 -7.64236320E-03 9 9.04932432E-03 8 9.37704754E-05 10 1.32993865E-03 11 -8.11259262E-04 13 1.58092715E-02 12 1.01255532E-02
 336 1 13 0.00000000E+00 2 0.590622365 1 0.365583956 3 5.64797074E-02 4 -2.85399165E-02 5 -4.56449983E-04 6 -3.95806506E-03 7 4.89330664E-03 9 4.14385321E-03 8 1.19152588E-04 10 5.04152675E-04 11 -3.02226399E-04 13 6.75739069E-03 12 4.15276503E-03
