points0.pts
zone0.inf
 152 271
 38
PP0
PP1
PP2
PP3
PP4
PP5
PP6
PP7
PP8
PP9
PP10
PP11
PP12
PP13
PP14
PP15
PP16
PP17
PP18
PP19
PP20
PP21
PP22
PP23
PP24
PP25
PP26
PP27
PP28
PP29
PP30
PP31
PP32
PP33
PP34
PP35
PP36
PP37
 627 1 11 0.00000000E+00 1 0.637857020 2 0.289339423 3 9.80072990E-02 4 -1.36374179E-02 5 -6.79544825E-03 6 -1.73796155E-03 7 -2.76584615E-04 8 -1.64483354E-04 9 -7.42570322E-04 10 -9.64836683E-04 11 -8.84408422E-04
 628 1 11 0.00000000E+00 1 0.663547933 2 0.223326564 3 0.139660344 4 -1.59495939E-02 5 -4.29740734E-03 6 -2.04240112E-03 7 1.95885645E-04 8 -7.61878982E-05 9 -1.10605720E-03 10 -1.48152083E-03 11 -1.77758432E-03
 629 1 11 0.00000000E+00 1 0.671452105 2 0.168623984 3 0.185773522 4 -1.96928345E-02 5 -3.90751433E-04 6 -2.53974344E-03 7 1.16131676E-03 8 5.61954803E-04 9 -1.60750386E-03 10 -1.94695254E-03 11 -1.39510282E-03
 630 1 11 0.00000000E+00 1 0.664068282 2 0.125188753 3 0.233926594 4 -2.48770099E-02 5 5.14382869E-03 6 -3.18097323E-03 7 2.58593168E-03 8 1.68666465E-03 9 -2.23736418E-03 10 -2.37850822E-03 11 7.38308663E-05
 631 1 11 0.00000000E+00 1 0.647178471 3 0.280795693 2 9.04059708E-02 4 -3.10279112E-02 5 1.24376379E-02 6 -3.88645171E-03 7 4.38407622E-03 8 3.16351000E-03 9 -2.96993647E-03 10 -2.78369314E-03 11 2.30264897E-03
 632 1 11 0.00000000E+00 1 0.625732124 3 0.323616654 2 6.18657321E-02 4 -3.76192108E-02 5 2.15654448E-02 6 -4.58677439E-03 7 6.48215553E-03 8 4.88103274E-03 9 -3.78418365E-03 10 -3.17125092E-03 11 5.01828734E-03
 633 1 11 0.00000000E+00 1 0.602838933 3 0.360591769 2 3.80723774E-02 4 -4.42313179E-02 5 3.25309895E-02 6 -5.23395464E-03 7 8.83545261E-03 8 6.77100848E-03 9 -4.66812681E-03 10 -3.55061749E-03 11 8.04349314E-03
 634 1 11 0.00000000E+00 1 0.580240905 3 0.390778452 2 1.81638841E-02 4 -5.05640171E-02 5 4.52310517E-02 6 -5.79104852E-03 7 1.14192050E-02 8 8.79533775E-03 9 -5.61454706E-03 10 -3.93013796E-03 11 1.12709291E-02
 772 1 11 0.00000000E+00 2 0.672499359 1 0.314620286 4 5.78601137E-02 3 -7.15324581E-02 5 -1.18568745E-02 6 -2.80937972E-03 7 2.36701849E-03 9 6.72149763E-05 8 5.46557643E-03 10 6.63413899E-03 11 2.66849883E-02
 773 1 11 0.00000000E+00 2 0.673846662 1 0.329217851 4 3.56588215E-02 3 -5.69614545E-02 5 -1.07938768E-02 6 -2.40126811E-03 7 1.73243531E-03 9 -6.73329259E-06 8 4.30141343E-03 10 4.86662798E-03 11 2.05395352E-02
 774 1 11 0.00000000E+00 2 0.661131799 1 0.350153923 3 -3.80222127E-02 4 1.62710380E-02 5 -9.93161090E-03 6 -2.03795964E-03 7 1.12684909E-03 9 -7.81539056E-05 8 3.18823778E-03 10 3.28879571E-03 11 1.49093186E-02
 775 1 11 0.00000000E+00 2 0.630025387 1 0.378852904 3 -1.37127368E-02 4 1.61964691E-03 5 -9.40678455E-03 6 -1.78030645E-03 7 5.63077163E-04 8 2.15091882E-03 9 -1.68072773E-04 10 1.92688033E-03 11 9.92908329E-03
 776 1 11 0.00000000E+00 2 0.579314888 1 0.415092915 3 1.64469779E-02 4 -7.46113807E-03 5 -9.21988580E-03 6 -1.66683213E-03 7 6.93278344E-05 8 1.22386031E-03 9 -2.93697551E-04 10 7.91915925E-04 11 5.70164481E-03
 777 1 11 0.00000000E+00 2 0.512517512 1 0.456163019 3 5.21740317E-02 4 -1.18320305E-02 5 -9.16810893E-03 6 -1.69731944E-03 7 -3.02803179E-04 8 4.52970533E-04 9 -4.63524309E-04 10 -1.27166510E-04 11 2.28338921E-03
 778 1 11 0.00000000E+00 1 0.497314751 2 0.436540782 3 9.27601084E-02 4 -1.34690274E-02 5 -8.89087655E-03 6 -1.85252982E-03 7 -4.81143652E-04 8 -9.64879437E-05 9 -6.84542116E-04 10 -8.59721447E-04 11 -2.81330606E-04
 779 1 11 0.00000000E+00 1 0.532991767 2 0.359048843 3 0.137526646 4 -1.44191338E-02 5 -7.96803366E-03 6 -2.12273141E-03 7 -3.78714118E-04 8 -3.41971259E-04 9 -9.70360765E-04 10 -1.44514826E-03 11 -1.92115363E-03
 780 1 11 0.00000000E+00 1 0.558347344 2 0.286480159 3 0.185780928 4 -1.61725916E-02 5 -5.98473335E-03 6 -2.51175417E-03 7 8.76365812E-05 8 -2.03447125E-04 9 -1.34188414E-03 10 -1.92207273E-03 11 -2.55960436E-03
 781 1 11 0.00000000E+00 1 0.571003854 2 0.222769931 3 0.236285076 4 -1.94692444E-02 5 -2.56541464E-03 6 -3.01767723E-03 7 9.65238549E-04 8 3.59348051E-04 9 -1.81540370E-03 10 -2.32641329E-03 11 -2.18932098E-03
 782 1 11 0.00000000E+00 1 0.571881592 2 0.169001088 3 0.286917686 4 -2.43615936E-02 5 2.60905479E-03 6 -3.61641892E-03 7 2.25265860E-03 8 1.32052985E-03 9 -2.39515677E-03 10 -2.68498110E-03 11 -9.24476597E-04
 783 1 11 0.00000000E+00 1 0.564065456 3 0.335047752 2 0.124347106 4 -3.04614715E-02 5 9.79403406E-03 6 -4.26548719E-03 7 3.91243631E-03 8 2.61365250E-03 9 -3.07696080E-03 10 -3.01831402E-03 11 1.04182353E-03
