points3.pts
zone3.inf
 152 271
 3
PP0
PP1
PP2
 21 1 3 0.00000000E+00 1 1.00000000 2 0.00000000E+00 3 0.00000000E+00
 22 1 3 0.00000000E+00 1 0.976490140 2 8.22041184E-03 3 1.52894445E-02
 23 1 3 0.00000000E+00 1 0.954767346 2 1.48456134E-02 3 3.03870644E-02
 172 1 3 0.00000000E+00 1 0.887629032 2 0.108126141 3 4.24480531E-03
 173 1 3 0.00000000E+00 1 0.930175185 2 5.99094033E-02 3 9.91540402E-03
 322 1 3 0.00000000E+00 1 0.718966901 2 0.277173609 3 3.85949435E-03
 323 1 3 0.00000000E+00 1 0.775860965 2 0.216462597 3 7.67644541E-03
 324 1 3 0.00000000E+00 1 0.826513529 2 0.160437703 3 1.30487699E-02
 325 1 3 0.00000000E+00 1 0.862510324 2 0.116529807 3 2.09598523E-02
 472 1 3 0.00000000E+00 1 0.553510368 2 0.444619894 3 1.86977559E-03
 473 1 3 0.00000000E+00 1 0.609076738 2 0.385623962 3 5.29927760E-03
 474 1 3 0.00000000E+00 1 0.664565027 2 0.325199604 3 1.02353971E-02
 475 1 3 0.00000000E+00 1 0.717149019 2 0.266405165 3 1.64458342E-02
 476 1 3 0.00000000E+00 1 0.762882531 2 0.213061646 3 2.40558423E-02
 477 1 3 0.00000000E+00 1 0.797295153 2 0.169281036 3 3.34238149E-02
 622 1 3 0.00000000E+00 2 0.603026867 1 0.396063060 3 9.10088478E-04
 623 1 3 0.00000000E+00 2 0.552247226 1 0.445960790 3 1.79197569E-03
 624 1 3 0.00000000E+00 1 0.499164611 2 0.495051473 3 5.78390667E-03
 625 1 3 0.00000000E+00 1 0.553614318 2 0.434543371 3 1.18423039E-02
 626 1 3 0.00000000E+00 1 0.607059717 2 0.373675585 3 1.92647241E-02
 627 1 3 0.00000000E+00 1 0.656937361 2 0.315350950 3 2.77116783E-02
 628 1 3 0.00000000E+00 1 0.700398326 2 0.262464046 3 3.71376500E-02
 629 1 3 0.00000000E+00 1 0.734865546 2 0.217499450 3 4.76350114E-02
 630 1 3 0.00000000E+00 1 0.759117544 2 0.181676701 3 5.92057332E-02
 772 1 3 0.00000000E+00 2 0.732824802 1 0.256748408 3 1.04267746E-02
 773 1 3 0.00000000E+00 2 0.703752279 1 0.293898463 3 2.34924816E-03
 774 1 3 0.00000000E+00 2 0.659892380 1 0.338883281 3 1.22433493E-03
 775 1 3 0.00000000E+00 2 0.605385244 1 0.389405459 3 5.20930300E-03
 776 1 3 0.00000000E+00 2 0.544725239 1 0.442885906 3 1.23888357E-02
 777 1 3 0.00000000E+00 1 0.496916473 2 0.481734335 3 2.13492084E-02
 778 1 3 0.00000000E+00 1 0.549266756 2 0.419482619 3 3.12506109E-02
